"full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2014 HG124)",2.546,0.5813,4.79,35.70,144.56,1.066,4.03,4.06,15,8,26,,,24.30
"       (2014 HQ124)",0.8508,0.2591,26.37,257.55,144.51,0.630,1.07,0.785,2595,1,306,5,3,18.92
"       (2014 HR124)",1.606,0.4672,6.99,26.62,274.55,0.856,2.36,2.04,2388,0,103,,,22.70
"       (2014 HS124)",1.35,0.2937,9.41,32.70,224.42,0.953,1.75,1.57,173,5,33,,,22.90
"       (2014 HJ129)",2.581,0.5649,8.44,241.17,264.72,1.123,4.04,4.15,1631,1,47,,,21.10
"       (2014 HK129)",1.706,0.4903,6.68,93.94,45.07,0.869,2.54,2.23,528,3,86,,,21.10
"       (2014 HL129)",1.278,0.2462,5.36,41.45,220.43,0.963,1.59,1.44,4,7,30,,,28.30
"       (2014 HM129)",1.552,0.4090,51.95,36.93,14.06,0.917,2.19,1.93,29,8,25,,,20.30
"       (2014 HO129)",1.742,0.4806,53.23,174.42,115.60,0.905,2.58,2.3,2715,0,248,,,19.30
"       (2014 HM132)",1.947,0.4178,1.43,188.59,67.48,1.134,2.76,2.72,58,6,26,,,25.00
"       (2014 HN132)",1.471,0.3350,10.77,35.03,113.17,0.978,1.96,1.78,3,8,21,,,25.60
"       (2014 HO132)",1.832,0.4710,5.35,43.04,211.65,0.969,2.70,2.48,6,6,101,,,25.70
"       (2014 HP132)",1.763,0.5693,40.61,39.84,257.96,0.759,2.77,2.34,2561,0,88,,,22.15
"       (2014 HQ132)",2.145,0.4832,11.58,69.76,206.56,1.109,3.18,3.14,1149,1,47,,,20.70
"       (2014 HX164)",1.444,0.3494,3.24,47.48,219.97,0.939,1.95,1.73,6,7,33,,,27.20
"       (2014 HZ164)",1.995,0.5112,3.40,49.97,122.45,0.975,3.02,2.82,5,8,22,,,23.80
"       (2014 HA165)",2.485,0.5892,5.50,103.09,71.78,1.021,3.95,3.92,27,8,28,,,23.10
"       (2014 HX176)",2.039,0.4980,2.54,193.11,356.32,1.024,3.05,2.91,23,6,26,,,24.50
"       (2014 HY176)",2.788,0.6467,8.89,214.93,48.63,0.985,4.59,4.66,5147,0,46,,,22.30
"       (2014 HA177)",1.714,0.2431,12.44,37.77,265.21,1.298,2.13,2.24,3343,0,57,,,20.57
"       (2014 HB177)",1.114,0.1946,3.48,45.12,251.60,0.897,1.33,1.18,6,6,36,,,28.10
"       (2014 HC177)",1.847,0.4771,7.40,212.53,323.56,0.966,2.73,2.51,1834,0,79,,,25.10
"       (2014 HD177)",1.848,0.5721,2.18,219.28,274.93,0.791,2.91,2.51,1836,0,146,,,23.00
"       (2014 HE177)",1.979,0.4663,3.55,219.03,3.99,1.056,2.90,2.78,21,8,26,,,25.80
"       (2014 HF177)",2.278,0.5498,7.21,43.07,251.22,1.026,3.53,3.44,2780,0,204,,,19.77
"       (2014 HV177)",2.172,0.5508,4.58,24.36,127.88,0.976,3.37,3.2,1058,1,71,,,21.00
"       (2014 HW177)",3.31,0.6445,13.02,49.90,201.79,1.177,5.44,6.02,18,8,20,,,22.50
"       (2014 HM178)",1.833,0.6451,21.59,12.67,344.38,0.650,3.02,2.48,2102,0,106,,,18.20
"       (2014 HN178)",1.888,0.4584,2.38,333.70,306.07,1.023,2.75,2.6,142,5,46,,,23.50
"       (2014 HP178)",1.992,0.3526,5.40,79.81,134.34,1.289,2.69,2.81,70,6,30,,,21.70
"       (2014 HQ178)",1.442,0.2798,5.89,31.66,102.04,1.038,1.85,1.73,7,8,18,,,22.60
"       (2014 HR178)",1.732,0.4747,8.11,168.64,163.66,0.910,2.55,2.28,2566,0,105,,,20.14
"       (2014 HS178)",2.939,0.5608,30.28,166.06,38.09,1.291,4.59,5.04,1880,0,71,,,20.10
"       (2014 HT178)",2.394,0.6384,4.71,41.17,238.55,0.866,3.92,3.7,10,9,33,,,26.50
"       (2014 HD184)",1.01,0.3268,18.91,226.95,204.49,0.680,1.34,1.01,4,9,14,,,22.90
"       (2014 HE184)",1.642,0.3167,15.98,229.83,279.65,1.122,2.16,2.1,4,9,15,,,23.90
"       (2014 HF184)",1.428,0.2502,5.11,32.52,218.35,1.071,1.79,1.71,12,8,27,,,26.90
"       (2014 HJ184)",0.9352,0.3817,19.57,28.67,357.42,0.578,1.29,0.904,33,4,33,,,21.70
"       (2014 HP184)",1.513,0.3866,19.22,25.99,63.42,0.928,2.10,1.86,6,8,17,,,21.00
"       (2014 HQ184)",1.094,0.3639,10.64,231.44,225.28,0.696,1.49,1.14,6,9,18,,,24.50
"       (2014 HR184)",1.296,0.3297,14.33,253.42,165.18,0.869,1.72,1.48,7199,0,82,,,20.08
"       (2014 HS184)",1.955,0.4704,2.32,106.91,170.90,1.035,2.87,2.73,93,5,91,,,23.30
"       (2014 HT184)",1.427,0.7873,19.31,46.36,316.92,0.304,2.55,1.71,17,8,28,,,21.90
"       (2014 HM187)",1.525,0.1898,0.62,88.36,270.44,1.235,1.81,1.88,6235,0,52,,,21.40
"       (2014 HN190)",1.408,0.2175,13.15,208.80,309.76,1.102,1.71,1.67,1811,1,27,,,23.90
"       (2014 HO190)",1.753,0.2844,12.22,232.44,345.21,1.254,2.25,2.32,7,9,13,,,24.60
"       (2014 HR190)",2.002,0.4169,2.91,196.65,18.15,1.168,2.84,2.83,12,8,17,,,26.20
"       (2014 HS190)",1.377,0.2072,13.05,31.23,122.52,1.092,1.66,1.62,7,9,15,,,23.60
"       (2014 HT190)",2.354,0.5490,6.65,45.35,211.67,1.061,3.65,3.61,11,9,13,,,26.00
"       (2014 HV190)",2.376,0.5043,3.31,229.14,353.31,1.178,3.57,3.66,10,9,12,,,26.10
"       (2014 HY191)",2.009,0.4659,3.64,53.92,118.43,1.073,2.95,2.85,3,9,10,,,25.19
"       (2014 HA192)",1.34,0.7248,7.92,41.17,43.88,0.369,2.31,1.55,2,9,13,,,25.54
"       (2014 HB192)",2.151,0.7050,3.60,47.80,259.93,0.634,3.67,3.15,2,9,13,,,26.20
"       (2014 HC192)",1.159,0.2152,9.85,34.37,280.24,0.909,1.41,1.25,10,9,16,,,26.80
"       (2014 HD192)",2.096,0.5402,5.79,35.78,132.63,0.964,3.23,3.04,2,9,12,,,27.72
"       (2014 HE192)",1.76,0.4185,9.09,214.01,33.35,1.023,2.50,2.33,3,8,14,,,25.89
"       (2014 HF192)",2.322,0.5092,17.12,35.46,199.41,1.140,3.50,3.54,2,9,11,,,24.78
"       (2014 HH192)",1.75,0.3450,31.71,236.45,142.21,1.146,2.35,2.31,2571,0,158,,,19.16
"       (2014 HZ193)",1.715,0.2916,10.12,49.02,123.30,1.215,2.22,2.25,6,9,13,,,23.30
"       (2014 HK194)",1.548,0.5492,14.46,28.33,329.95,0.698,2.40,1.93,2,9,14,,,21.61
"       (2014 HT195)",2.311,0.4584,10.53,28.98,238.07,1.252,3.37,3.51,2,9,27,,,23.60
"       (2014 HA196)",1.532,0.2903,20.47,28.03,116.47,1.087,1.98,1.9,5,9,18,,,24.10
"       (2014 HC196)",2.495,0.5687,3.68,47.81,116.80,1.076,3.91,3.94,2,9,26,,,25.40
"       (2014 HD196)",1.554,0.1993,15.10,207.01,43.21,1.245,1.86,1.94,2,9,28,,,24.60
"       (2014 HE196)",1.589,0.2819,11.40,32.35,222.66,1.141,2.04,2,2,9,20,,,25.70
"       (2014 HF196)",2.029,0.4291,7.07,31.56,184.18,1.158,2.90,2.89,2,9,23,,,27.00
"       (2014 HG196)",1.896,0.5417,1.26,18.88,122.24,0.869,2.92,2.61,11,9,36,,,25.70
