"full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2021 AB1)",0.7317,0.4630,9.06,101.38,201.68,0.393,1.07,0.626,2,8,21,,,26.70
"       (2021 AC1)",1.411,0.3118,7.04,108.20,29.25,0.971,1.85,1.68,35,6,68,,,25.20
"       (2021 AE1)",1.894,0.4998,8.37,133.45,251.04,0.947,2.84,2.61,14,8,29,,,22.34
"       (2021 AF1)",2.489,0.6226,14.59,287.49,113.95,0.939,4.04,3.93,6,9,27,,,22.99
"       (2021 AG1)",0.9393,0.1887,26.53,104.73,162.43,0.762,1.12,0.91,8,7,34,,,24.25
"       (2021 AH1)",1.721,0.7974,11.02,83.95,143.68,0.349,3.09,2.26,13,9,26,,,21.64
"       (2021 AJ1)",2.652,0.6103,3.00,284.66,145.93,1.034,4.27,4.32,7,9,20,,,24.33
"       (2021 AK1)",2.015,0.5016,2.98,340.74,110.28,1.004,3.03,2.86,47,6,71,,,23.91
"       (2021 AL1)",1.991,0.5761,0.20,55.74,115.79,0.844,3.14,2.81,13,7,69,,,25.28
"       (2021 AM1)",1.375,0.4365,36.29,104.25,276.62,0.775,1.97,1.61,8,8,22,,,24.01
"       (2021 AN1)",1.208,0.2332,2.99,289.89,238.01,0.926,1.49,1.33,14,7,47,,,26.86
"       (2021 AP1)",1.59,0.3840,11.80,111.62,310.97,0.979,2.20,2,13,8,31,,,23.68
"       (2021 AQ1)",1.699,0.5412,1.43,314.04,81.32,0.779,2.62,2.21,12,7,74,,,25.07
"       (2021 AS1)",1.944,0.7505,1.21,8.39,353.25,0.485,3.40,2.71,11,8,52,,,24.21
"       (2021 AT1)",1.421,0.2905,7.87,289.87,170.53,1.009,1.83,1.69,31,7,81,,,25.70
"       (2021 AW1)",1.335,0.1579,16.91,270.17,189.62,1.124,1.55,1.54,50,6,33,,,22.90
"       (2021 AX1)",1.267,0.3417,2.58,294.35,243.50,0.834,1.70,1.43,8,7,27,,,27.52
"       (2021 AY1)",1.868,0.5623,3.73,130.08,259.25,0.817,2.92,2.55,7,9,24,,,24.20
"       (2021 AZ1)",2.364,0.5930,1.26,349.74,74.98,0.962,3.77,3.64,4,9,17,,,24.74
"       (2021 AA2)",2.74,0.6398,2.74,95.31,28.02,0.987,4.49,4.54,10,7,47,,,26.42
"       (2021 AC2)",0.8706,0.2430,0.81,100.22,231.39,0.659,1.08,0.812,3,6,35,,,27.89
"       (2021 AE2)",1.62,0.3788,1.07,125.37,333.74,1.006,2.23,2.06,77,5,79,,,24.87
"       (2021 AF2)",1.207,0.1370,14.05,108.42,3.07,1.041,1.37,1.33,10,7,38,,,25.30
"       (2021 AJ2)",2.779,0.5590,16.63,103.32,357.11,1.225,4.33,4.63,12,9,25,,,23.26
"       (2021 AK2)",1.902,0.5507,2.30,335.10,67.31,0.855,2.95,2.62,10,9,26,,,24.84
"       (2021 AL2)",2.644,0.5866,13.85,326.73,167.54,1.093,4.20,4.3,78,5,164,,,22.48
"       (2021 AM2)",0.9755,0.0142,8.40,107.57,138.21,0.962,0.99,0.964,5,3,91,,,27.10
"       (2021 AN2)",2.452,0.6094,4.84,97.96,343.50,0.958,3.95,3.84,29,7,110,,,24.60
"       (2021 AO2)",1.442,0.3179,19.42,279.97,232.72,0.983,1.90,1.73,45,6,80,,,22.72
"       (2021 AP2)",2.235,0.7078,7.44,324.93,225.34,0.653,3.82,3.34,31,7,52,,,20.70
"       (2021 AR2)",1.261,0.3336,11.38,107.77,291.55,0.840,1.68,1.42,8,7,47,,,26.30
"       (2021 AS2)",2.291,0.7796,0.83,108.64,96.80,0.505,4.08,3.47,1,8,20,,,29.57
"       (2021 AT2)",1.024,0.0747,3.96,292.25,83.36,0.948,1.10,1.04,9,6,31,,,27.27
"       (2021 AU2)",1.503,0.4046,3.22,259.77,155.76,0.895,2.11,1.84,32,7,49,,,24.23
"       (2021 AV2)",2.378,0.5715,32.93,276.92,210.80,1.019,3.74,3.67,170,5,29,,,19.71
"       (2021 AX2)",1.687,0.2887,31.08,122.76,267.16,1.200,2.17,2.19,781,1,73,,,20.12
"       (2021 AY2)",2.859,0.6681,3.17,287.65,148.86,0.949,4.77,4.84,7,8,45,,,27.20
"       (2021 AZ2)",2.483,0.5891,13.34,119.88,300.65,1.020,3.94,3.91,11,8,46,,,23.10
"       (2021 AA3)",1.681,0.2912,18.71,102.91,319.95,1.191,2.17,2.18,5,9,14,,,23.90
"       (2021 AB3)",2.015,0.5089,6.23,107.33,345.52,0.990,3.04,2.86,4,8,27,,,27.88
"       (2021 AF3)",1.301,0.9336,7.18,130.95,172.20,0.086,2.52,1.48,10,9,27,,,22.90
"       (2021 AG3)",1.593,0.2903,17.13,203.99,80.05,1.130,2.06,2.01,10,6,19,,,19.64
"       (2021 AH3)",1.287,0.6511,33.95,103.22,210.05,0.449,2.12,1.46,9,8,48,,,20.08
"       (2021 AJ3)",1.604,0.4508,15.06,275.35,121.96,0.881,2.33,2.03,8,8,38,,,23.61
"       (2021 AK3)",1.359,0.4358,18.38,249.46,325.37,0.767,1.95,1.58,55,6,53,,,21.42
"       (2021 AP3)",0.9572,0.1127,8.45,304.60,8.35,0.849,1.07,0.936,32,4,60,,,24.90
"       (2021 AQ3)",1.733,0.4823,11.53,288.63,126.55,0.897,2.57,2.28,4,8,30,,,26.51
"       (2021 AR3)",1.476,0.5064,8.01,106.25,280.89,0.728,2.22,1.79,8,8,30,,,25.89
"       (2021 AS3)",2.243,0.6645,7.93,292.41,108.54,0.753,3.73,3.36,9,7,93,,,25.41
"       (2021 AT3)",1.518,0.3635,4.03,323.47,98.96,0.966,2.07,1.87,8,8,33,,,25.33
"       (2021 AW3)",1.198,0.4996,11.42,285.23,286.39,0.600,1.80,1.31,10,8,43,,,24.22
"       (2021 AX3)",1.021,0.3117,20.02,109.16,118.42,0.703,1.34,1.03,7,8,29,,,25.46
"       (2021 AY3)",2.044,0.5592,11.00,109.64,46.27,0.901,3.19,2.92,4,8,38,,,25.44
"       (2021 AZ3)",2.283,0.6976,1.69,286.11,107.02,0.691,3.88,3.45,1,8,16,,,28.30
"       (2021 AA4)",1.372,0.3384,5.29,268.94,137.22,0.907,1.84,1.61,10,8,35,,,24.99
"       (2021 AB4)",1.32,0.2902,2.99,287.64,140.96,0.937,1.70,1.52,8,7,89,,,26.85
"       (2021 AC4)",1.73,0.4447,3.08,110.15,335.27,0.961,2.50,2.27,2,7,44,,,28.87
"       (2021 AD4)",0.9073,0.0881,9.46,106.57,194.06,0.827,0.99,0.864,9,6,42,,,25.66
"       (2021 AE4)",1.16,0.1624,15.77,49.55,172.38,0.971,1.35,1.25,86,5,35,,,21.80
"       (2021 AF4)",2.384,0.7912,8.99,20.43,8.97,0.498,4.27,3.68,51,6,46,,,20.90
"       (2021 AG4)",1.512,0.3270,2.96,274.35,176.77,1.018,2.01,1.86,7,8,22,,,25.89
"       (2021 AH4)",1.198,0.1973,18.72,121.50,58.32,0.962,1.43,1.31,23,7,31,,,23.61
"       (2021 AJ4)",1.279,0.3343,32.02,107.03,234.40,0.852,1.71,1.45,8,8,23,,,21.66
"       (2021 AK4)",1.27,0.2496,24.71,112.81,290.77,0.953,1.59,1.43,8,8,38,,,22.90
"       (2021 AL4)",1.634,0.3490,4.91,325.89,171.88,1.064,2.20,2.09,68,6,48,,,25.40
"       (2021 AM4)",1.652,0.4272,3.13,289.81,143.39,0.946,2.36,2.12,7,8,28,,,26.99
"       (2021 AN4)",1.464,0.3075,1.04,270.90,208.77,1.014,1.91,1.77,8,7,23,,,27.49
"       (2021 AO4)",1.212,0.4478,14.39,106.80,265.25,0.669,1.75,1.33,2,8,9,,,27.64
"       (2021 AP4)",1.173,0.4485,21.49,310.49,291.66,0.647,1.70,1.27,44,6,34,,,22.57
"       (2021 AQ4)",1.171,0.1684,20.78,291.21,109.57,0.974,1.37,1.27,25,7,46,,,24.16
"       (2021 AR4)",2.282,0.4866,36.33,244.84,170.26,1.172,3.39,3.45,56,7,52,,,19.58
"       (2021 AS4)",2.609,0.6037,3.69,270.40,172.91,1.034,4.18,4.21,6,8,32,,,24.32
"       (2021 AT4)",1.367,0.4316,13.03,112.03,265.67,0.777,1.96,1.6,1,9,21,,,24.30
"       (2021 AU4)",1.436,0.4195,13.63,117.86,77.94,0.833,2.04,1.72,6,9,23,,,24.21
"       (2021 AV4)",0.9104,0.2032,13.30,105.94,81.70,0.725,1.10,0.869,306,3,25,,,20.94
"       (2021 AW4)",1.328,0.2729,31.69,116.44,71.92,0.966,1.69,1.53,7,8,33,,,23.47
"       (2021 AZ4)",0.9633,0.5081,44.49,115.90,201.27,0.474,1.45,0.945,33,6,63,,,21.46
"       (2021 AA5)",1.188,0.2623,3.16,269.54,115.86,0.876,1.50,1.29,34,6,26,,,25.77
"       (2021 AB5)",1.095,0.3467,16.32,91.67,255.35,0.715,1.47,1.15,8,7,16,,,23.09
"       (2021 AD5)",1.047,0.0985,9.74,290.55,114.26,0.944,1.15,1.07,1,7,20,,,28.30
"       (2021 AE5)",1.389,0.4442,3.41,219.00,159.13,0.772,2.01,1.64,3,9,8,,,23.94
"       (2021 AF5)",0.9359,0.0711,4.24,112.31,208.46,0.869,1.00,0.905,26,6,81,,,24.82
"       (2021 AK5)",1.029,0.0200,4.97,288.88,177.39,1.008,1.05,1.04,8,6,28,,,27.84
"       (2021 AL5)",2.316,0.5114,6.83,87.58,41.91,1.132,3.50,3.53,43,6,25,,,24.10
"       (2021 AM5)",1.402,0.2662,16.12,115.09,3.57,1.029,1.78,1.66,6,7,29,,,25.15
"       (2021 AN5)",1.045,0.0883,42.22,121.29,193.95,0.953,1.14,1.07,179,2,51,,,22.19
"       (2021 AO5)",2.013,0.6399,7.11,130.13,75.03,0.725,3.30,2.86,12,8,56,,,22.33
"       (2021 AP5)",1.527,0.3560,2.89,114.00,30.17,0.984,2.07,1.89,11,8,26,,,25.18
"       (2021 AR5)",1.213,0.1998,1.89,265.74,166.39,0.971,1.46,1.34,28,6,94,,,25.55
"       (2021 AS5)",1.46,0.3190,1.03,166.11,297.48,0.994,1.93,1.76,36,6,70,,,26.30
"       (2021 AT5)",1.827,0.4604,7.66,293.71,172.06,0.986,2.67,2.47,4,6,95,,,27.53
"       (2021 AU5)",0.9201,0.1651,15.66,118.15,125.23,0.768,1.07,0.883,6,6,32,,,24.03
"       (2021 AV5)",1.225,0.1943,13.97,114.12,342.21,0.987,1.46,1.36,5,7,52,,,26.56
"       (2021 AW5)",1.233,0.2759,1.90,87.33,94.40,0.893,1.57,1.37,11,7,28,,,26.54
"       (2021 AX5)",2.384,0.8400,2.28,158.09,200.35,0.381,4.39,3.68,4,9,37,,,24.00
"       (2021 AY5)",1.08,0.1548,5.69,316.32,75.78,0.913,1.25,1.12,37,5,96,,,24.93
"       (2021 AZ5)",2.062,0.5238,6.42,114.54,9.98,0.982,3.14,2.96,3,6,37,,,28.05
"       (2021 AA6)",0.8994,0.3922,14.38,295.80,306.99,0.547,1.25,0.853,5,7,39,,,26.89
"       (2021 AB6)",2.838,0.6607,7.08,100.03,63.95,0.963,4.71,4.78,34,7,34,,,22.57
"       (2021 AC6)",1.269,0.3248,20.78,299.41,245.94,0.857,1.68,1.43,6,7,45,,,25.30
"       (2021 AD6)",1.137,0.2240,5.98,298.40,103.25,0.883,1.39,1.21,54,5,63,,,23.56
"       (2021 AF6)",1.932,0.5112,9.90,107.03,333.26,0.944,2.92,2.69,3,8,15,,,26.17
"       (2021 AG6)",0.756,0.3283,7.01,117.11,186.22,0.508,1.00,0.657,4,7,34,,,26.88
"       (2021 AK6)",1.049,0.2416,19.61,112.83,267.50,0.795,1.30,1.07,4,7,42,,,25.29
"       (2021 AL6)",2.437,0.6568,17.38,251.91,125.90,0.836,4.04,3.8,238,4,88,,,20.57
"       (2021 AM6)",0.8279,0.2284,3.03,106.72,206.05,0.639,1.02,0.753,36,7,52,,,26.60
"       (2021 AO6)",1.995,0.4973,1.91,342.13,135.51,1.003,2.99,2.82,54,7,28,,,25.22
"       (2021 AP6)",1.379,0.2900,1.11,344.97,157.04,0.979,1.78,1.62,69,5,29,,,26.73
"       (2021 AQ6)",0.8898,0.2381,23.50,289.61,33.24,0.678,1.10,0.839,2,7,20,,,24.80
"       (2021 AR6)",1.512,0.3228,19.15,297.48,185.73,1.024,2.00,1.86,5,8,23,,,25.23
"       (2021 AS6)",1.092,0.5448,9.30,260.97,83.29,0.497,1.69,1.14,4,9,21,,,23.73
"       (2021 AT6)",1.823,0.4775,9.42,293.17,149.12,0.952,2.69,2.46,25,8,33,,,24.40
"       (2021 AU6)",1.712,0.5136,1.14,224.49,180.14,0.833,2.59,2.24,4,9,9,,,25.86
"       (2021 AV6)",1.29,0.2876,9.33,299.60,226.61,0.919,1.66,1.46,4,7,27,,,26.89
"       (2021 AW6)",1.576,0.4322,2.32,331.06,91.19,0.895,2.26,1.98,3,8,12,,,26.17
"       (2021 AX6)",0.7827,0.3170,3.26,99.42,204.59,0.535,1.03,0.693,34,7,25,,,26.89
"       (2021 AY6)",1.699,0.4130,7.86,296.15,173.27,0.998,2.40,2.22,3,7,27,,,28.15
"       (2021 AZ6)",1.109,0.2877,16.97,115.87,269.82,0.790,1.43,1.17,3,7,50,,,26.34
"       (2021 AA7)",1.542,0.3649,1.91,291.12,159.30,0.979,2.10,1.91,3,7,37,,,27.32
"       (2021 AB7)",1.58,0.3727,2.63,305.38,177.47,0.991,2.17,1.99,7,7,38,,,27.74
"       (2021 AC7)",1.584,0.3653,11.35,300.74,144.08,1.006,2.16,1.99,4,8,22,,,25.86
"       (2021 AD7)",2.739,0.5284,6.63,296.25,260.38,1.292,4.19,4.53,176,4,268,,,19.43
"       (2021 AE7)",2.029,0.5687,3.53,335.22,93.08,0.875,3.18,2.89,23,8,23,,,24.20
"       (2021 AF7)",2.154,0.5334,2.44,22.74,110.27,1.005,3.30,3.16,47,7,32,,,25.30
"       (2021 AG7)",1.885,0.6204,8.43,304.80,256.17,0.716,3.05,2.59,22,7,44,,,23.80
"       (2021 AH7)",1.951,0.3837,23.99,108.90,49.94,1.203,2.70,2.73,92,6,27,,,21.05
"       (2021 AJ7)",2.305,0.5865,10.41,315.79,117.56,0.953,3.66,3.5,24,8,23,,,24.01
"       (2021 AN7)",1.539,0.1715,18.64,318.26,141.81,1.275,1.80,1.91,2,9,30,,,20.80
"       (2021 AO7)",2.458,0.6896,8.36,18.30,6.04,0.763,4.15,3.85,2,9,19,,,21.82
"       (2021 AP7)",1.287,0.3507,7.40,339.44,29.74,0.835,1.74,1.46,1125,1,43,,,21.80
"       (2021 AQ7)",1.624,0.2620,15.16,117.05,353.42,1.199,2.05,2.07,7,8,13,,,24.40
"       (2021 AR7)",2.46,0.5871,1.58,9.14,102.92,1.016,3.90,3.86,2,8,22,,,26.60
"       (2021 AT7)",2.024,0.4727,10.90,131.86,358.84,1.067,2.98,2.88,50,6,42,,,23.21
"       (2021 AV7)",3.056,0.7061,29.40,153.48,39.10,0.898,5.21,5.34,1857,0,294,,,18.93
"       (2021 AW7)",1.473,0.3500,1.88,128.48,54.27,0.957,1.99,1.79,27,7,26,,,24.30
"       (2021 AX7)",1.555,0.2665,19.16,70.64,142.33,1.141,1.97,1.94,3866,0,98,,,21.00
"       (2021 AZ7)",2.172,0.6906,36.25,143.51,242.34,0.672,3.67,3.2,33,7,34,,,20.90
"       (2021 AB8)",2.69,0.5723,12.24,295.28,256.90,1.151,4.23,4.41,183,4,77,,,19.96
"       (2021 AD8)",1.161,0.1862,28.95,106.82,297.84,0.945,1.38,1.25,2,9,12,,,24.99
"       (2021 AE8)",1.109,0.0751,0.40,3.60,73.17,1.025,1.19,1.17,49,5,48,,,25.64
"       (2021 AF8)",2.018,0.5153,9.69,42.50,168.90,0.978,3.06,2.87,2412,0,391,1,1,20.22
"       (2021 AG8)",1.967,0.4037,10.41,9.69,159.74,1.173,2.76,2.76,86,5,37,,,21.27
"       (2021 AH8)",2.203,0.7911,5.61,284.21,78.34,0.460,3.95,3.27,1,9,8,,,29.59
"       (2021 AW11)",2.463,0.4830,6.16,219.09,187.53,1.274,3.65,3.87,224,4,57,,,19.40
"       (2021 AD24)",1.576,0.3441,6.36,146.51,53.98,1.033,2.12,1.98,734,0,59,,,22.89
"       (2021 AG26)",1.121,0.3625,29.69,291.16,277.86,0.715,1.53,1.19,9,8,25,,,24.70
"       (2021 AH26)",1.397,0.2422,14.14,103.03,307.78,1.058,1.73,1.65,11,8,19,,,24.49
"       (2021 BA)",1.003,0.2308,12.47,117.04,98.90,0.772,1.23,1,354,2,59,,,26.01
"       (2021 BB)",0.9323,0.1190,8.05,296.52,50.52,0.821,1.04,0.9,,6,27,,,28.02
"       (2021 BC)",0.7061,0.4346,21.25,300.51,345.97,0.399,1.01,0.593,16,7,59,,,24.30
"       (2021 BD)",0.8642,0.7854,2.48,113.21,151.29,0.185,1.54,0.803,1,8,29,,,26.90
"       (2021 BF)",1.529,0.3478,16.29,110.82,330.57,0.997,2.06,1.89,10,8,26,,,25.16
"       (2021 BG)",2.73,0.5353,12.23,67.55,135.39,1.269,4.19,4.51,156,5,25,,,19.71
"       (2021 BJ)",1.583,0.4044,1.56,335.70,103.52,0.943,2.22,1.99,21,7,65,,,25.45
"       (2021 BK)",1.534,0.4540,3.02,297.12,239.27,0.837,2.23,1.9,,6,32,,,30.31
"       (2021 BL)",2.378,0.6303,7.18,121.89,40.18,0.879,3.88,3.67,8,7,17,,,26.00
"       (2021 BM)",1.191,0.1806,1.39,177.18,340.74,0.976,1.41,1.3,169,4,79,,,25.31
"       (2021 BN)",1.101,0.2661,0.22,328.33,65.34,0.808,1.39,1.16,24,6,30,,,28.40
"       (2021 BO)",0.9472,0.1438,5.29,118.14,113.16,0.811,1.08,0.922,1,4,40,,,32.95
"       (2021 BP)",2.097,0.7460,6.10,332.92,48.98,0.533,3.66,3.04,22,8,41,,,23.00
"       (2021 BQ)",2.44,0.5885,4.51,300.85,187.45,1.004,3.88,3.81,9,7,63,,,26.43
"       (2021 BR)",1.782,0.4040,7.89,111.01,18.70,1.062,2.50,2.38,31,7,17,,,25.40
"       (2021 BS)",1.175,0.2555,15.62,115.78,76.14,0.875,1.47,1.27,7,8,27,,,25.59
"       (2021 BT)",2.334,0.6336,5.63,110.16,79.38,0.855,3.81,3.57,25,8,59,,,23.38
"       (2021 BU)",1.747,0.5488,5.95,98.56,302.16,0.788,2.71,2.31,2,9,14,,,26.11
"       (2021 BV)",1.646,0.4694,13.44,107.09,302.31,0.873,2.42,2.11,2,9,14,,,25.57
"       (2021 BW)",2.6,0.7201,28.07,317.70,66.81,0.728,4.47,4.19,35,7,39,,,20.60
"       (2021 BY)",1.448,0.1936,11.29,296.66,194.39,1.168,1.73,1.74,47,6,31,,,23.67
"       (2021 BZ)",0.9956,0.3042,19.29,126.57,109.30,0.693,1.30,0.993,13,5,56,0,1,24.81
"       (2021 BA1)",2.321,0.5267,1.26,65.22,111.98,1.099,3.54,3.54,119,4,443,,,22.66
"       (2021 BB1)",1.163,0.7469,4.91,302.17,306.44,0.294,2.03,1.25,3,8,65,,,25.83
"       (2021 BE1)",1.458,0.2847,8.21,312.42,228.22,1.043,1.87,1.76,85,5,36,,,23.41
"       (2021 BF1)",2.573,0.8286,8.95,111.22,111.97,0.441,4.70,4.13,1,9,27,,,24.30
"       (2021 BG1)",1.12,0.5143,14.09,274.56,82.26,0.544,1.70,1.19,1,9,15,,,23.66
"       (2021 BH1)",1.472,0.2911,14.95,130.87,329.09,1.043,1.90,1.79,20,7,15,,,24.40
"       (2021 BJ1)",0.8372,0.4446,11.48,120.49,145.01,0.465,1.21,0.766,20,6,57,,,24.40
"       (2021 BK1)",1.104,0.7212,25.59,300.33,309.76,0.308,1.90,1.16,3,8,37,,,26.35
"       (2021 BL1)",1.671,0.4031,2.75,297.89,162.50,0.997,2.34,2.16,2,7,18,,,27.98
"       (2021 BM1)",1.174,0.1723,24.90,298.23,212.56,0.972,1.38,1.27,1,7,31,,,27.30
"       (2021 BN1)",1.08,0.4230,16.67,323.32,300.19,0.623,1.54,1.12,24,6,26,,,22.30
"       (2021 BO1)",2.134,0.5670,0.44,133.14,20.85,0.924,3.34,3.12,1,7,21,,,29.20
"       (2021 BP1)",0.9691,0.1735,5.75,113.84,253.47,0.801,1.14,0.954,4,5,12,,,29.60
"       (2021 BQ1)",2.038,0.5154,6.34,118.29,14.92,0.988,3.09,2.91,1,8,25,,,27.90
"       (2021 BR1)",1.041,0.0251,8.29,296.12,285.72,1.015,1.07,1.06,1,6,22,,,26.50
"       (2021 BS1)",0.5984,0.3377,31.73,27.68,332.65,0.396,0.80,0.463,330,3,35,,,18.52
"       (2021 BT1)",1.664,0.3154,27.42,117.29,16.11,1.139,2.19,2.15,8,9,17,,,24.30
"       (2021 BU1)",2.338,0.5829,5.99,118.68,31.80,0.975,3.70,3.57,8,8,29,,,26.28
"       (2021 BV1)",1.301,0.5815,21.80,297.82,282.54,0.544,2.06,1.48,3,7,21,,,28.03
"       (2021 BW1)",0.8833,0.1874,0.89,97.77,220.53,0.718,1.05,0.83,47,5,29,,,26.50
"       (2021 BX1)",2.362,0.5841,5.43,114.41,347.93,0.982,3.74,3.63,7,7,21,,,27.97
"       (2021 BY1)",2.443,0.7425,9.16,297.53,97.55,0.629,4.26,3.82,2,8,16,,,28.73
"       (2021 BZ1)",1.64,0.5941,4.09,60.73,324.31,0.666,2.62,2.1,21,8,32,,,22.80
"       (2021 BA2)",2.515,0.6173,4.55,292.35,143.42,0.963,4.07,3.99,22,7,58,,,24.80
"       (2021 BB2)",1.696,0.3693,63.15,303.08,279.03,1.070,2.32,2.21,4217,0,58,,,20.50
"       (2021 BC2)",2.429,0.6634,5.87,106.15,82.87,0.817,4.04,3.79,6,9,21,,,24.04
"       (2021 BD2)",1.97,0.5620,5.59,124.68,292.67,0.863,3.08,2.77,2,8,22,,,25.57
"       (2021 BE2)",1.684,0.3006,22.96,310.10,35.80,1.178,2.19,2.19,3,9,14,,,20.28
"       (2021 BF2)",0.9269,0.2558,8.82,283.89,66.60,0.690,1.16,0.892,3,6,13,,,26.19
"       (2021 BG2)",2.752,0.5483,10.25,167.26,321.33,1.243,4.26,4.56,86,4,71,,,22.00
"       (2021 BH2)",1.184,0.3220,20.10,300.35,268.40,0.802,1.56,1.29,2,8,19,,,25.80
"       (2021 BJ2)",2.26,0.7015,1.14,45.27,164.16,0.675,3.85,3.4,4,9,19,,,23.40
"       (2021 BK2)",1.756,0.3389,48.29,298.88,227.47,1.161,2.35,2.33,2,9,15,,,23.02
"       (2021 BL2)",1.257,0.4336,1.84,106.63,281.09,0.712,1.80,1.41,1,8,9,,,28.56
"       (2021 BM2)",1.533,0.4103,4.01,299.76,123.33,0.904,2.16,1.9,2,8,13,,,27.30
"       (2021 BN2)",1.407,0.2403,9.69,313.77,187.58,1.069,1.74,1.67,35,7,22,,,25.10
"       (2021 BO2)",2.513,0.6281,3.42,114.78,328.48,0.934,4.09,3.98,1,8,12,,,28.44
"       (2021 BP2)",1.812,0.5696,2.02,301.08,244.67,0.780,2.84,2.44,2,8,14,,,27.92
"       (2021 BR2)",1.162,0.2723,1.65,296.14,109.80,0.845,1.48,1.25,4,6,18,,,30.87
"       (2021 BS2)",2.115,0.4701,3.20,94.34,45.94,1.121,3.11,3.08,56,6,27,,,24.00
"       (2021 BT2)",0.9217,0.5098,23.38,306.91,39.24,0.452,1.39,0.885,18,8,21,,,24.05
"       (2021 BU2)",2.704,0.5263,11.13,93.55,56.65,1.281,4.13,4.45,45,6,26,,,22.10
"       (2021 BV2)",1.676,0.3400,29.71,301.36,116.20,1.106,2.25,2.17,19,8,20,,,22.70
"       (2021 BX2)",2.461,0.5157,29.04,120.44,284.58,1.192,3.73,3.86,25,7,16,,,20.80
"       (2021 BY2)",1.164,0.3019,17.39,292.54,288.08,0.812,1.51,1.26,7,9,14,,,22.70
"       (2021 BZ2)",1.037,0.1341,14.00,311.48,310.58,0.898,1.18,1.06,44,5,51,,,23.80
"       (2021 BA3)",2.04,0.4837,6.06,102.25,51.74,1.053,3.03,2.91,59,7,29,,,23.80
"       (2021 BB3)",1.315,0.1792,29.49,119.55,359.01,1.080,1.55,1.51,4,9,10,,,24.55
"       (2021 BC3)",1.061,0.0777,11.23,119.43,291.84,0.979,1.14,1.09,4,7,10,,,27.35
"       (2021 BD3)",1.031,0.1580,11.99,122.48,93.35,0.868,1.19,1.05,13,7,45,,,25.73
"       (2021 BE3)",1.118,0.2378,12.53,312.88,264.66,0.852,1.38,1.18,20,8,22,,,24.00
"       (2021 BF3)",2.641,0.6150,1.22,90.60,305.58,1.017,4.27,4.29,143,5,21,,,21.64
"       (2021 BG3)",1.919,0.6388,8.47,257.61,330.53,0.693,3.14,2.66,28,7,14,,,21.10
"       (2021 BJ3)",0.6672,0.5207,9.69,312.65,352.89,0.320,1.01,0.545,23,7,111,,,25.10
"       (2021 BK3)",2.643,0.6492,0.52,335.42,118.72,0.927,4.36,4.3,21,7,160,,,24.80
"       (2021 BL3)",2.077,0.7708,3.31,104.72,279.39,0.476,3.68,2.99,17,7,37,,,24.71
"       (2021 BM3)",2.392,0.7009,19.51,324.95,81.12,0.715,4.07,3.7,45,6,114,,,21.47
"       (2021 BS3)",0.782,0.3768,13.47,143.02,160.22,0.487,1.08,0.692,35,6,130,,,23.71
"       (2021 BX3)",1.979,0.3513,2.56,287.55,168.11,1.284,2.67,2.78,54,6,34,,,22.29
"       (2021 BP13)",1.839,0.4881,4.79,120.50,31.13,0.942,2.74,2.49,,9,12,,,27.37
"       (2021 BS13)",2.164,0.6042,4.18,292.82,255.84,0.857,3.47,3.18,6,9,10,,,24.96
"       (2021 CA)",2.137,0.5741,5.71,310.99,223.52,0.910,3.36,3.12,24,7,27,,,23.60
"       (2021 CB)",2.174,0.5113,5.50,128.19,8.30,1.063,3.29,3.21,81,5,88,,,24.05
"       (2021 CC)",0.9138,0.2092,8.57,312.32,48.39,0.723,1.10,0.874,20,5,119,,,25.43
"       (2021 CD)",0.7399,0.4215,4.71,129.22,202.72,0.428,1.05,0.637,18,7,32,,,27.23
"       (2021 CE)",1.462,0.3032,0.97,107.22,11.55,1.019,1.91,1.77,39,7,27,,,26.80
"       (2021 CF)",0.7781,0.3524,9.22,129.26,192.71,0.504,1.05,0.686,8,8,31,,,25.80
"       (2021 CG)",2.097,0.5462,7.15,136.95,30.27,0.952,3.24,3.04,4,7,70,,,26.10
"       (2021 CH)",1.661,0.4172,4.98,318.50,212.34,0.968,2.35,2.14,9,7,32,,,27.40
"       (2021 CJ)",2.089,0.5193,13.17,135.88,343.72,1.004,3.17,3.02,8,8,32,,,26.20
"       (2021 CK)",1.533,0.5717,4.25,295.00,298.81,0.657,2.41,1.9,14,9,24,,,24.40
"       (2021 CL)",1.192,0.1637,0.60,107.38,50.37,0.997,1.39,1.3,12,7,19,,,28.52
"       (2021 CM)",1.595,0.3637,9.87,317.21,171.90,1.015,2.18,2.01,4,8,19,,,27.10
"       (2021 CN)",1.743,0.4426,10.67,314.98,146.28,0.972,2.51,2.3,4,8,21,,,26.30
"       (2021 CO)",1.125,0.3630,4.76,321.69,272.66,0.717,1.53,1.19,6,6,101,,,25.28
"       (2021 CP)",2.238,0.5566,9.47,315.78,161.66,0.992,3.48,3.35,14,7,57,,,25.95
"       (2021 CR)",1.491,0.3519,14.89,135.43,329.92,0.966,2.02,1.82,3,7,21,,,27.00
"       (2021 CS)",1.1,0.1633,25.48,315.24,90.46,0.920,1.28,1.15,17,7,53,,,24.00
"       (2021 CT)",1.237,0.2044,8.19,138.14,17.88,0.984,1.49,1.38,4,6,58,,,26.94
